Column1;Column2
jangan sampai keliru;jha?' sampe?' kale?ro
jangan terlalu bergembira ?ulu;jha?' neng-senneng gha?llu
jangan suka lewat disini;jha?' le?ba?dha?n e? kanna'
sebentar lagi akan pulang;jha? agghi' mole?a
memang sungguh sangat sulit;jha?' lakar ce?' malaraddha?
masih bersaudara bisa bermusauhan;jha?' ghi' atare?tan bisa amosoan
sudah tahu tidak punya masih juga dimintai;jha?' re?ng la tao ta' an?i' ghi' e?pe?ntae?
sudah ngantuk masih juga belum tidur;jha?' re?ng la ngantok ghi, ta' te??ung
sudah malam tiba belum juga pulang.;jha?' la malem ghi' ta' mole?
beri tahu ke orang tuamu bahwa hari Minggu saya mau datang kerumahnya.;kaba?la? ?a?' re?ng towana jha?' are? me?nggu se?ngko' e?ntarra ka romana
nama jawanya gundu, nama maduranya leker, dulunya bodoh, sekarang pintar.;jha?ba?na ghun?hu, madhura?na le?ker, sahbha?nna bhu?hu, sate?ya pe?nter 
maunya pergi ke Surabaya tapi tidak jadi;jha?ba?na e?ntarra ka Sorbha?ja? namong ta' dha?ddhi
oh, sunguh bingung hatiku, seakan tidak akan terobati kecuali kita secepatnya berjumpa.;?u posang ongghu ate? bula?, cora' ta?a?' tambha?na, kajha?ba?a? dhika ba?n bula? dhuli apangghi
anak kecil itu jatuh lalu bangkit tapi sambil menangis;na'-kana' ke?ne?' rowa labu pas dhuli jha?gha? tape? sambi nange?s
dengan nama Allah yang menguasahi alam semesta.;bit asma e?pon Allat se? Morbha? jha?gha?t
dari pagi sampai siang ibu tua renta itu berkeliling sambil menjajakan barang dagangannya namun tidak juga laku-laku.;?a?ri lagghu kantos se?yang bu'-embu' se? seppo rowa akale?le?ng nya?jha?ahi bha?ra?ng dha?gha?nganna, tape? ta' ?hik ju-paju
menjadi orang jangan suka memfitnah.;dha?ddhi ore?ng jha?' jha?l-jha?jjha?l
dikatakan kepada orang yang tidak menghiraukan bahaya maut yang menghampirinya;jha?jjha?la?ng nyandher ka dha?mar 
dikatakan kepada orang hendak meraih sesuatu namun keinginan itu tidak mungkin dicapainya;jha?jjha?la?ng ngabbherra? ka langnge?' 
menangkap ikan dengan memakai alat jala;me?gha?' jhuko' ngangghuy jha?la?
berjalan diatas pecahan kaca;ajha?la?n e? attas bhelling
jalan sepanjang sungai;jha?la?n sapelanjha?ngnga songay
dikatakan kepada orang yang memutar atau meminjamkan uangnya agar mendapatkan keuntungan dengan cara membungakan;majha?la?naghi pe?sse? bu?u' 
pada jaman waktu permulaan;ghi' jha?man ba?kto mola
sesudah bertengkar mulut dua orang perempuan itu lalu saling menjambak rambutnya.;samare?na apadhu. ore?ng bine?' ?uwa?' rowa pas patang jha?mbha?k obu'na
jamu Madura sudah terkenal di manca negara;jha?mo Madhura? pon kalonta e? manca nagha?ra?
dikira sudah pulang.;jha?mo' ellla mole?
orang banyak yang saling menyikut untuk memperebutkan sesuatu untuk memperoleh bagiannya.;akan?a jha?ngghira?ng nyujjhu' tae? 
kuburan orang Islam;jha?ra?ddha? ore?ng e?slam
jauhnya hanya sampai alun-alun;jha?una gha?n lon-alon
ibu sedang menjemur pakaian;e?bhu mor-jhemmor kalambhi
meskipun sudah tidak kali dipenjara, maling itu belum juga jera.;maske? mare? e?penjara tello kale?, male?ng rowa ta' ?hik ra?-jherra?
dicecar dengan pertanyaa;e?jherjher bi' partanyaan
dikatakan kepada orang yang selalu membuat keonara;mara jhingke?' kae?langan ?ha?ce?n 
jangan keterlaluan kalau bergurau, nanti bisa bertengkar;jha?' bet-jhubet mon aghiya?k, ?a?gghi' pas atokar
jodoh dan mati sudah ada yang mengatur;jhu?hu ba?n pate? ba??a? se? ngraksa
saya sudah beberapa kali minum obat yang diberikan olehmu, tapi tidak cocok;se?ngko' pan-bra?mpan kale? nge?nom obha?t se? e?berri' ba?'na rowa, tape? ta' jhu?hu
anak itu sudah ganteng juga sangat jujur;kana' rowa sala ga?nteng ce?' jhujhurra?
Raden Pratanu bergelar Ki Lemah Duwur;Radhin Pratanu ajhejhuluk Ki Lemah Duwur
di katakan kepada orang yang tidak memerlukan pertolongan orang lai;ta' me?nta jhuma' 
jangan dorong-dorongan nanti jatuh;jha?' ka'-jhungka'an ?a?gghi' labu
kakek saya berjalan dengan memakai tongkat.;emba lake?' kaula? alomampa ngaghem jhungkat 
luruskan hatimu nak!;pajhuntrong ate?na na'!
mobil yang ngebut tadi itu jatuh ke jurang yang dalam;motor se? ngebbut ghella?' rowa gha?ggha?r ?a?' jhura?ng se? ?a?lem
jual saja supaya punya uang;jhuwa?l rapa ma'le? an?i' pe?sse?
sangat disayangkan jika sampai terjual;e?man ongghu se? e?jhuwa?lla?
jilid yang pertama.;jilit se? kape?ng se?ttong
rumahnya telah roboh.;romana la jugruk
makan terus tidak berhenti-henti.;ajuljul se? ngakan
mau pergi ke pasar;e?ntarra ka pasar
ke sebelah pinggir;?a?' ka pe?ngghir
khawatir dan takut dilupakan;kaba?te?r tor tako' e?kaloppae?
Oh Tuhan kabulkanlah permohonan hambaMu ini.;gu Pangeran kabbhulaghi panyo'onna dhi dha?lem 
kucing berewok itu sudah dikebiri.;koce?ng ga?ra?mbis rowa e?kabhiri
pada permulaan ini saya memuji sukur ke hadirat Allah yang menguasai alam semesta.;kabidha?n bha?dha?n kaula? amojjhi sokkor ka ajunan Allah se? morbha? jha?gha?t
mulai tadi tidak kunjung mengantuk;kabit ghella?' ta' ghellem katon?u
tidak banyak selisihnya;ta' ba?nnya' kace?ggha?
harga ikan dorang dengan ikan bandeng tidak beda banyak.;argha?na jhuko' la'ba?ng bi' jhuko' bha?ndheng ta' kace?k ba?nnya'
biasanya kalau anak kecil kencing penisnya menegang.;biasana kana' lake?' ke?ne?' mon akemme? pelle?rra pas ngaceng
kalau makan jangan menggunakan tangan kiri, itu tidak baik nak!.;mon ngakan jha?' ngangghuy tanang kace?r, ja?re?ya ta' bha?ghus cong!
banyak sekali, penuh sekali.;sakaddhu' ra' ra'
bagaimana, seperti apa;kadhi penapa , ba?ra?mma 
begini, seperti ini;kadhi ka'?into , ba?riya? , ?a?' iya? 
belum juga usai, tidak juga usai.;ta' ka?hik loba?r
apakah anda sudah mengetahui?;aponapa panjhennengngan ampon ngagha?li?
ibu sangat teikejut setelah mendengar anaknya sudah meninggal karena penyakit yang dideritanya;e?bhu ce?' kaghiddha? salastare?na me?reng jha?' pottrana se??ha? amargha? panyake?t se? e?kasan?ha?ng
pulang saja ah!.;mole? bha?i kah!
bila memukul jangan terlalu keras;mon mokol jha?' ja?-kaja?
pada saat itu juga.;kala pane?ka jhugha?n
dengan memuj i rasa syukur ke hadirat Allah.;kalaba?n amojjhi sokkor ka ajunan Allah
daunnya jatuh berserakan kemana-mana.;?a?unna gha?ggha?r akalarkaran
tiga kali dua sama dengan enam.;tello' kale? ?uwa?' pa?a? sareng ennem
adikku sudah dua kali berkunjung ke rumahmu namun tidak pernah bertemu.;tang ale?' ella ?u kale? e?ntar ?a?' romana ba?'na tape? ta' ?hik atemmo
tidak tahu sama sekali;ta' tao sama sakale?
perahunya karam di laut.;paraona kalebbu e? tase?'
biasanya sangat nakal tapi sekarang pura-pura kalem.;biyasana ce?' nakalla tape? sate?ya lemmakalem
bau ketiaknya sangat apek.;ba?u kale?mongnga ce?' amengnga
dikatakan kepada seorang wanita yang berjalan gemulai diibaratkan sedang meniti benang.;pajha?la?nna ne?te?r kale?nang 
bau ketiaknya sangat apek.;ba?u kale?ncabbha? ce?' amengnga
mendengar ibunya meninggal dunia, anak itu langsung pingsa;nge??ing e?bu'na adhinggha?l omor, kana' rowa pas kalengnger
anaknya yang kecil minta jalan-jalan naik sepeda;ana'na se? ke?ne?' me?nta ja?r-kale?nja?r nompa' sape??a
tepat hari libur, anak-anak sekolahan berlibur ke pulau Bali.;teppa' are? pre?i, na'-kana' sakolaan akale?nja?r ?a?' polo Bha?li
polisi memborgol maling yang tertangkap di pasar.;polisi ngale?ntong male?ng se? e?tangkep neng pasar
minta maaf, saya kelupaan;nyo'on sapora, abdhina ka.kale?bha?n
jangan sampai lupa.;jha?' kantos kale?p
setelah air ditambak surut, banyak ikan menggelepar-gelepar.;saellana ae?ng e? tambha?' sorot, ba?nnya' jhuko' apek-kaleppeggha?n
daunnya jatuh berserakan kemana-mana.;ga?unna gha?ggha?r akale?rke?ran
bangun tidur lalu menggeliat-geliat;jha?gha? te??ung pas akale?ya'
sana, kalau disuruh-suruh segera cepat dikerjaka;kalla, mon e?ro-soro dhuli lakone?
makan krupuk melempem;ngakan kropok kalmet
toplesnya ditutup yang rapat nanti krupuknya jadi melempem.;galbassa? totop se? rapet ?a?gghi, kropokna kalmet
Trunojoyo sudah tersohor sebagai pahlawan Madura.;Trunojoyo ampon kaalok pahlawan Madhura?
nenek sudah piku;emba bine?' ella ngalole?
kerapan sapi sudah kesohor di manca negara.;kerrabha?n sape? ampon kalonta e? manca nagha?ra?
air yang ditaruh di tong itu sampai meluap-luap.;ae?ng se? e?saba?'e? tong rowa dha?gha? wa-ngalowa
sudah diberi tapi masih juga ngambek.;mare? e?berri' tape? ghi' ngambhul bha?i
hendak pergi kemana;e?ntarra ka kamma
sampahnya cepat dibakar di tempat pembakara;sarpa'anna dhuli obbha?r e? kampoan
kalau makan menggunakan tangan kana;mon ngakan ngangghuy tanang kanan
bunga kenanga dan cempaka memenuhi pekaranga;kembha?ng kananga ba?n gempaka mossa'e? palataran
anaknya sapi dimasukkan ke dalam kandang.;ja?girra? e?pamaso' ?a?' kan?ha?ng
orang yang teraniaya;ore?ng se? kane?aja?
merindukan akan ketulusannya;ngangen ka e?stona
hanya dirimulah yang selalu kurindu.;coma dhika se? e?kangenna
kesini jangan berpindah-pindah;kanna' jha?' le?-ngalle?
coba kemari sebentar saja.;jha?jha?l ?a?' kanna' sakejjha?' bha?i
makin dipandang semakin tampak kecantikannya.;saja?n e?pandheng saja?n kantara raddhinna
kenapa anda tidak ke sini?.;anape? dhika ma' ta' ka kanto?
mari berikan pada saya.;tore? pa ka anto
jangan sampai lupa;jha?' kantos kale?p
jangan sampai kepikiran;jha?' k.antos ke?r-pe?kke?ran
jangan sampai keliru.;jha?' kantos kale?ro
asalkan bisa sembuh nak, ayo cepat sembuh, aku akan berkaul membuat tumpeng dua onggok jika kamu bisa tidur sebentar saja.;asal ba?ra?s na', mara dhuli ba?ra?s se?ngko' akaolla, arasolla ?uwa?', sokkor ghellem te??ung
apabila diambil lalu berikan lagi;kapan e?kala' pas ba?ghi pole?
jika mau pulang bawakan bungkusan ini.;kapan mole?a ghiba?aghi bhungkosa?n re?ya
yang ke lima;se? kape?ng le?ma'
bantal dan kasurnya diisi dengan kapuk.;bha?ntal ba?n kasorra e?e?sse?e? kalaba?n kapo
sudah lumrah di Madura.;ampon kappra e? Madhura?
orang tua itu meradang-radang sambil menjerit-jerit.;ore?ng tuwa arowa ara'-kara' sambi awa1-µiwat
keranjangnya terbuat dari daun kelapa.;karanjha?ngnga e?gha?ba?y ?a?ri ?a?unna nye?yor
orang yang marah itu mengomel-ngomel tidak karua;ore?ng se? pegghel rowa nyam-ngaranyam ta' karowan
emas 24 karat.;emmas empa' le?kor karat
mangga masak hasil pengkarbitan;paona massa' karbe?dha?
minuman kopiku masih tersisa setengah gelas;tang kopi ghi' akare? satengnga gellas
saya diberi sisa-sisa;se?ngko' e?berri' re?kare?
langit cerah bintang putih berkilau-kilauan sangat indahnya.;langge?' bherse? bintang pote? ?ha?p-ngare??ha?p ce?' pemana
buah cennai di depan rumah berbuah lebat.;buwa?na cenne? e? a?a?' na roma ape?ng-kare?mpe?ng
jika dihitung-hitung kemungkinan akan merugi.;mon e?na-kare?na, mase? rogia?
cincin emas berkilau-kilaua;sello' emmassa? anap-karennap
anaknya merengek-rengek minta dibelikan maina;ana'na nye?'-ngare?nye?' me?nta melle? e?nmae?nan
saking dari marahnya sampai giginya mengkertak-kertak.;sake?ng ?a?ri pegghella? dha?gha? ret-ngaret
bintang berkilau-kilauan langit cerah memperindah alam.;bintang te?p-ngarette?p langnge?'na bherse? mapema alam
hati bingung tidak karuan kepikiran;ate? bhingong ta' karoan ke?r-pe?kke?ran
hanya cuma itu?;ghun karo ja?re?ya?
bangkai tikus dipinggir jalan itu dikerubuti lalat.;bha?µmgnga te?kos e? pe?ngghir jha?la?n e?karobghudhi lala'
biasanya jika telah malam banyak nyamuk berkerubung, lebih-lebih jika selokannya tidak terawat.;biyasana mon la malem rengnge?, ngarobung, bi-lebbi mon le?ke?na ta' karaba?t
berasnya diwadahi karung.;bherra?ssa? e?ba???ha?i karong
di w~ pagi ayam jantan sama-sama berkokok saling bersauta;e? ba?ja? lagghu aja?m lake?' pa?a? akaronno' ot-saodha?n
setelah berlari-lari tubuhku terasa linu-linu semua.;mare? ka'-berka'an tang bha?dha?n arassa nyo-ngaronyo kabbhi
kalau memang berani jangan keroyoka;mon lakar ba?ngal jha?' ngaroyo'an
patuh dan tunduk terhadap kehendak Allah.;manggu' ka karsana Alla
biarkan, saya yang akan berangkat.;karsana, kaula? se? me?yossa
berjemur diri di tepi pantai.;akartang e? pe?ngghir se?re?ng
uangnya dicatat di buku kas.;pe?sse?na e? catet e? buku kas
tidak bersuara tahu-tahu berkentut.;lo' akasa' temmona pas akento'
kasar seperti paruta;kasar akan?a rot-parot
orang yang berbaju hitam itu sudah jelek lagi sangat kasar tingkah lakunya.;ore?ng se? akalambhia?n celleng rowa sala jhuba?' ghi' ce?' kasarra te?ngka polana
konon daun jambu itu mempunyai khasiat.;oca' e?pon ?a?unna jha?mbhu pane?ka anggha??hua?n kase?yat
tidur hanya beralaskan tikar.;te??ung coma akasor te?ker
sana kamu pulang saja.;kassa ba?'na mole? bha?i
sana kamu pulang saja.;kassa ba?'na mole? bha?i
saya sangat menyesal telah melawan orang tua, saya mau minta maaf agar tidak berdosa.;se?ngko' ce?' kastana ella alaba?n ?a?' ore?ng towa, se?ngko' asaporaa ma' le?ta' dhusa
dikatakan kepada orang yang suka meniru-niru atau berperilaku seperti orang yang jauh diatasnya, sehingga kesusahan bahkan kebinasaan yang didapat.;kata' ne?n?ha?a? sape? 
mayitnya diusung menggunakan katil.;mayyiddha? e?osong ngangghuy kate?l
bersayur daun pepaya;agha?ngan ?a?unna kate?s
daun pepaya berasa pahit.;?a?unna kate?s arassa pae?'
kelihatan dari daratan;katonna da?ri te?nggha?ngan
baru saja tampak.;ghi' bhuru ngaton
kemarin malam rumah tukang becak terbakar.;ba?ri' malem romana tokang beca' katonon
uang sumbangan di bawa.;pe?sse? sombha?ngan e?pakatot
kakak membawa oleh-oleh dari pasar.;kaka' nge?ba? le?-olle? ?a?ri pasar
yang maha kuasa;se? maa keba?sa
orang Islam bila bersembahyang menghadap ke kiblat.;ore?ng e?slam mon abha?ja?ng nga??hep ka ke?bblat
kakek merokok sampai asapnya berkepul-kepul.;emba aroko, kokossa sampe?' bhul-kebbhula?n
bercepuk-cepuk di ombak yang dangkal.;acak-ke?cak e? omba?' se? ca-raca
bumbu sate ayam yang enak adalah kecap dicampur kacang.;lappana sate aja?m se? nyaman, ke?cap e?campor kacang
halamannya becek terkena huja;tane?yanna kecca e?kenne?ng ojha?n
darahnya keluar meleleh lalu kering agak kental.;?a?ra?na kalowar ale?lle? pas kerre?ng aba?k kecceng
pengemis itu memakai baju yang sangat kotor.;ore?ng emme?s rowa ngangghuy kalambhi co-kecco
anak nakal itu suka mencuri mangga di rumahku;kana' bheller rowa clhuja?n nge?co' pao e? tang roma
baju yang dijemur dicuri maling.;kalambhi se? e? jhemmor e? ke?co' male?ng
menjadi seorang lelaki jangan pengecut.;dha?ddhi re?ng lake?' jha?' di'-keddi'
anak-anak remaja sekarang banyak yang ketagihan narkoba.;na'-kana' ngango?a?dha?n sate?ya ba?nnya' se? kedha?ghia?n narkoba
dikarenakan sudah sepuh, kakekku tidak bisa mendengar atau tuli;polana ella seppo, tang emba ta' bisa nge??ing otaba? ghupek
mencium bau bangkai;nge??ing ba?una bha??ang
masih belum mendengar;ghi' bellun nge??ing
dua koyan beras.;?u ke?ja?n bherra?s
bila punya kekuasaan jangan terlalu kejam terhadap orang yang tidak berpunya.;mon an?i' kakoba?saan jha?' jem-kejjem ?a?' ore?ng se? ta, an?i'
anak kecil yang ingusan itu sebentar-sebentar nangis melulu.;kana' ke?ne?' se? ame?ro'an rowa jha?'-sakejjha?' nange?s malolo
gergajinya kikir lagi supaya lebih tajam.;ghergha?jhina ke?ke?r pole? sopaja? lebbi tajhem
jang suka menggigit jari, itu tidak baik.;jha?' nge?kke?'an ghrighi', ja?re?ya ta' bha?ghus
anaknya baru saja selesai kencing, ayo cepat diceboki agar tidak gatal.;bha?ji'na ghi' bhuru mare? akemme?, dhuli mara pas ke?lae? ma'le? ta' gha?tel
panjangnya kira-kira lima kila;lanjha?ngnga ra-ke?ra le?ma ke?lan
kemarin ada orang mati di tengah sawah karena terkena sambaran petir;ba?ri' ba??a? ore?ng mate? e? tengnga saba? amargha? kenne?ng tappor ke?lap
pohon nangka dibelakang rumah disambar petir.;bhungkana nangka e? bu?ina roma e? tappor ke?lap
kuat membeli tapi tidak bisa memakainya.;kellar melle? ta' kellar ngangghuy 
orang itu bila mencela sangat keterlalua;ore?ng rowa mon nyale? ce?' ngelleddha?
gadis Bali biasa mengenakan kemba;ore?ng ba?bine?' Bha?li biyasa akembennan
anaknya telah lahir kembar laki-laki.;ana'na ella lae?r kembha?r lake?'
bermain di halaman sangat bergembira ria.;amae?n e? tane?yan ce?' kembhira?na
makan nast goreng secara keroyoka;ngakan nase?' ghuring e?kembhuli
karena dimarahi, anak yang tidak bersalah itu tertahan untuk menangis.;polana e?ombha?ng kana' se? lo' an?i' sala rowa bikembia?n
perutnya kembung sering berkentut;tabu'na kembung akento'an
dimana rumahmu dik?;kemma benkona ba?'na le?'?
mana kuburuan cina, ayo;kemma jha?ra?ddha? ce?na yu' koro' pandhusana, kemma jha?la?n tare?sna noro'a ka bengkona 
ikan di atas meja dihabiskan semua oleh kucing.;jhuko'e? attas me?ja? e?pakemmet koce?ng
mobil kakakku berwarna hitam kemerah-meraha;mobilla? tang kaka' aba?ma kemomo
karena sudah tidak mempuyai apa-apa lagi, terpaksa bapaknya mengemplang hutangnya.;amargha? taga?' se? e?kaan?i' pole?, kepaksa bapa'na ngemplang otangnga
mumpung masih muda rajinlah bersembahyang;pong-pong ghi' ngo?a? pakenceng se? abha?ja?ng
tidak semangat bekerja.;ta' kenceng alako
bunganya masih menguncup belum mekar.;kembha?ngnga ghi' nge?ncop ghi' ta' mekkar
karena tidak mau disuruh-suruh, anak gadisnya itu pura-pura sakit perut.;polana ta' en?a?' e?ro-soro, ana' bine?'na rowa ?ha?ke?n?ha? sake?' tabu'
tidak adil, tidak mendengarkan perkara dari berbagai pihak biasanya condong menjadi kericuhan;ken?ha?ng e?tabbhu salaja? 
lemah, lemas seperti orang belum makan, dikatakan kepada orang yang tidak bisa berbuat apa-apa karena ketidak tahuannya tentang hal sesuatu.;mara ken?ha?ng ta' e?si?a' 
minum air yang ada di kendi sangat dingin dan segar.;nge?nom ae?ng e? ken?hi ce?' cellebbha? ba?n seggher
duduk-duduk sambil berdiang;ju'-toju' sambi ake?n?u
orang yang teraniaya;ore?ng se? ke?ane?aja?
kalau yang ini maaf tidak bisa.;manabi pane?ka saporana lo' ke?nge?ng
anjing yang berada dikuburan itu pada tengah malam menggo-nggong-gonggong lama sekali.;bhurus se? ba??a? e? kobhura?n rowa e? tengnga malem ake?ngke?ng ce?' abiddha?
kena den da karena tidak kuat membayar;kenne?ng ?hin?a? polana ta' kowat maja?r
buah ini bisa dimakan;buwa? are?ya kenne?ng kakan
ayamnya tidak bisa ditangkap;aja?mma ta' kenne?ng pe?gha?'
tidak bisa dipercaya;ta' kenne?ng e?parcaja?
dikarenakan lama tidak diobati, luka boroknya terasa sakit berdenyut-denyut.;arnargha? abit lo' e?obha?dhi, porona arassa sake?' anyot-kennyot
jika banyak makan biji nangka tentu akan kentut terus-terusan;mon ba?nnya' ngakan bighila?n tantona akento'an rosterrosa?n
dikatakan kepada orang yang semaunya sendiri, tidak memperdulikan keadaan orang lai;mara ore?ng akento' 
sangat lucu rambutnya dikepang dua;ce?' locona obu'na e?ke?pang ?uwa?'
hatiku tertarik akan dirimu.;ate? bula? kepe?ncot ka dhika
banyaknya murid baru yang masuk pada tahun ini kira-kira 35 orang;ba?nnya'na more?d anyar se? maso' taon re?ya ra-ke?ra 35 ore?ng
takkan lupa akan senyumannya;ta' ke?ra loppa margha? pe?semma
jodoh dan mati ada yang mengatur.;ju?hu ba?n pate? ba??a? se? ngeraksa
anak nakal itu jika dilawan dengan sungguh menjadi tidak berani.;kana' nakal rowa mon e?laba?n sakale? pas kercet
kirimanku sudah sampai?.;tang ke?re?man ella ?a?pa'?
rambut kakek putih semuanya, kulitnya sudah berkeriput.;obu'na emba lake?' pote? kakabbhi, kole?'na ella ro'-ke?ro'
karapan sapi di Madura;kerrabha?n sape? e? Madhura?
sudah tiba waktunya disebelah sana sapi hendak dikerap.;ella ?a?pa' sate?ya te?masana sape? bha?kal e?kerrap rowa' ghun e? ?issa
dagingnya Liat sulit untuk digigit.;dha?ghingnga kerras ta' gha?mpang e?ke?kke?'
wataknya memang keras hati;ba?teggha? lakar kerras
sesudah berlari-lariankeringatnya bercucura;mare? ka'-berka'an pellona ngerray
biasanya jika masuk angin saya minta dikerok.;biyasana mon maso' ange?n, se?ngko' me?nta kerre?k
malam-malam anak-anak mencari kunang-kunang di rerimbunan pohon bambu.;lem-malem na'-kana' nyare? nang-konang e? kerrengngan
diwaktu musim kemarau, banyak tumbuhan menjadi kering, sungai juga kering.;e? ba?kto mose?m ne?mor, ba?nnya' ka'-bhungkaan se? kerre?ng, songay ke?rre?ng ke?ya
bajunya berkerut-kerut karena belum disetrika.;kalambhina aso'kerso' polana ghi' ta' e?seddrika
Al-Quran adalah kitab yang harus dijadikan pedoman oleh seluruh ummat Islam.;AlQuran e?ngghi pane?ka ke?tab se? salerressa? andha?ddhiaghi pandhuman mongghu ?a?' sadha?ja?na ommat e?slam
kuah yang dimasak belum bercampur menyatu.;kuwa se? e?massa' ghi' ta' ketket
tiga hari tidak mandi, tubuh kotor-kotor.;tello are? ta' man?i, bha?dha?n mo-ketomo
tadi malam rumah temanku terbakar.;malemmma romana tang kanca ketonon
awas kena terjang.;se?nga' kenne?ng kette?'
seluruh badan gemetaran;samarbha?na bha?dha?n terketterran
tadi malam saya menggigil lcarena sakit;se?ngko' malemma ter-ketterran amargha? sake?'
jika bepergian jauh jangan takut-takut.;mon ajha?la?nan jha?u jha?' te?r-kette?r
air di swnur semuanya keruh.;ae?ng e? somor ketto kakabbhi
bapaknya pandai, demikian juga anaknya.;ba?pa'na pe?nter, ana'na pe?nter ke?ya
setelah mencicipi buah asam yang sangat kecut, matanya dipicing-picingka;saellana nye?pce?bhi accem se? ce?' ce?lo'na, matana cer-kicerran
berkilo-kilo jauhnya yang berjalan;alo-kilo jha?una se? ajha?la?n
baju yang dipakai di rumah atau baju keseharia;klambhi ma-roma, klambhi langsaran
daunnya jatuh berserakan kemana-mana.;?a?unna gha?ggha?r aklarkaran
bau ketiaknya sangat apek.;ba?u kle?moognga ce?' amengnga
bau ketiaknya sangat apek.;ba?u kle?ncabbha? ce?' amengnga
mendengar ibunya meninggal dunia, anak itu langsung pingsa;nge??ing e?bu'na adhinggha?l omor, kana' rowa pas klengnger
anaknya yang kecil minta jalan-jalan naik sepeda;ana'na se? ke?ne?' me?nta ja?r-kle?nja?r nompa' sape??a
tepat hari libur, anak-anak sekolahan berlibur ke pulau Bali.;teppa' are? pre?i, na'-kana' sakolaan akle?nja?r ?a?' polo Bha?li
polisi memborgol maling yang tertangkap di pasar.;polisi ngle?ntong male?ng se? e?tangkep neng pasar
setelah air ditambak sumt, banyak ikan menggelepar-gelepar.;saellana ae?ng e? tambha?' sorot, ba?nnya' jhuko' apek-kleppeggha?n
daunnya jatuh berserakan kemana-mana.;?a?unna gha?ggha?r akale?rke?ran
bangun tidur lalu menggeliat-geliat.;jha?gha? te??ung pas akle?ya'
nenek sudah piku;emba bine?' ella nglole?
air yang ditaruh di tong itu sampai meluap-luap.;ae?ng se? e?saba?'e? ettong rowa dha?gha? wa-nglowa
mau pergi kemana dirimu dik?;e?ntarra ?a?' ko'amma dhika le?'?
mau pergi kemana dirimu dik?;e?ntarra ?a?' ko'imma dhika le?'?
kamu mau kemana?;ko' kammaa dhika?
tali yang terbuat dari kulit daun enau;tale? ?a?ri koba?l
khawatir dan takut terlupakan;koba?te?r tor tako, kaloppae?
saya khawatir kepadamu, takut tidak menepati janji.;bula? koba?te?r ka dhika, tako' lopot jha?njhi
sebelum makan tangannya harus dibasuh di kobokan yang sudah disediaka;sabellunna ngakan tanangnga kodhu aba?cco e? kobhugha?n se? e?se?iaaghi
biasanya jika lebaran orang-orang banyak pergi ke kuburan untuk nyekar;biasana mon tellasa?n re?ng-ore?ng pa?a? e?ntar ?a?' kobhura?n kaangghuy nylase?
dimana-mana jika ada kuburan mesti ada bunga kamboja.;e?man-kamman mon ba??a? kobhura?n maste? ba??a? kembha?ng campaka molja?
jika bersembahyang memakai peci hitam.;mon abha?ja?ng biasa ngangghuy kocca celleng-
jika bermain remi, siapa yang kalah semestinya mengocok.;mon amae?n re?mi, sapa se? kala kodhuna ngocco'
burung kutilang jika diberi pakan pisang berkicau terus.;mano' ketilang mon e?berri' pakan ghe??a?ng ngoce? terros
orang yang berjual rujak itu memakai ulek-ulek yang terbuat dari kayu.;ore?ng se? ajhuwa?l rojha?k rowa ngangghuy cek-kocek ?a?ri kaju
jika temanku tidak bisa datang, kamu harus bisa menggantikannya.;mon tang kanca ta' ?a?dheng, aba?'na kodhu bisa nga?nte?e?
kokohkan yang berpegangan;pakoko se? ategghu'a?n
kokoh tidak mudah goyah.;koko ta' gha?mpang kocak
ayah merokok, asapnya berkebul-kebul.;rama aroko', kokossa? bhul-kebbhula?n
sungguh enak makan sup kikil kambing.;nyaman ongghu ngakan sop kokoddha? embe?'
penyakit ibu kambuh lagi setelah setabun lamanya sembuh.;panyake?ddha? e?bu' komat pole? saellana sataon abiddha? se? ba?ra?s
kacangnya sudah dikupas.;kacangnga mare? e?kombi'
sangat sulit jika disuruh-suruh.;ce?' komeddha? mon e?ro-soro
memompa ban sepeda;ngompa ban sape??a
uangnya disembunyikan di sarungnya.;pesse?na e?pet-kompet e?sarongnga
belum memiliki cucu;ghi' ta' an?i' kompoy
cucunya sudah bisa berjala;kompoyya ella bisa ajha?la?n
adat yang sudah kuno.;adha?t se? ella kona
bunga mawannya sudah mulai berkuncup.;kembha?ng mawarra ella molae? akoncop
nanti siang adiknya dijemput di sekolahan;?a?gghi' seyang ale?'na kone?'e? e? sakolaan
jangan sampai membuat saya kepikira;jha?' kongse? bula? ke?r-pe?kke?ran
pergi ke kondangan;e?ntar ka konjha?ngan
bertepuk-tepuk tangan berteriak kegirangan;pa'-kopa'an ae?ra' kape?ragha?n
bila masih terus menangis nanti kau akan dijewer telinganya.;mon ghi' nange?s terros ?a?gghi' ba?'na e?kopessa? kope?ngnga
karena kehujanan bajuku basah kuyup.;polana kaojha?nan tang klambhi kopo kabbhi
kamu jangan asal bicara;ba?'na jha? kor ngoca'
asal saja kamu mau, akan saya lamar.;kor ghellem, ba?'na bi' se?ngko' e?lamarra
ayah membaca koran;rama maos koran
air di bak mandi kuraskan karena sudah kotor.;ae?ng jeg?ing korasaghi polana ella kotor
supaya tidak lepas, ayamnya dikurungi saja;ma'le? ta' buru, aja?mma koronge? bha?i
rumah dipinggir jalan itu tidak berpenghuni;roma e?pe?ngghir jha?la?n rowa kosong
