Indonesia,Madura
perlu apa adika terburu-buru mau pula?.,parlo apa alè' ma' kabhuru sè molèa?
belum terlalu malam,malemma ghi' bhâri'
belum terlalu pagi.,lagghu ghi bhâri'
piria jatuh lalu pecah,pèrèa ghâgghâr pas bhâsa
membatik,"abhâṭèk, mâṭèk, serrat, aserrat, errat "
"tempuru tempata, teream kuaha, sampai batas akhir keiia, se ora tuaa.","bhâtok bâḍḍhâ, emme kuwa, totok sajjhâ, see rè towa "
selesai hujajalabaak ya becek,samarè ojhâ jhâlâpaḍâ bheccer
"meski becek berlumpur jika tidak maka akabecek, meski bagus telate jika tidak maka akacia.","sala leḍḍhu' lècè ḍhik lo' bheccerra, sala bhâghus pratè rjhik lo'  ̀serra "
"keluar dari arah timur, muul dari arah timur, data dari arah timur",meḍḍhâl ḍâri tèmor
keluar dari piu.,meḍḍhâl ḍâri labâ
"tidak disaka akabertemu deau, tertegulalu sali terseum.","ta' èsaka sè tatemmowa so dhika, bheghegghepas paḍâ mèsem"
kakia tertusuk beli,soko tecoco' bhelli
hatiku saat gusar,ta atè cè' bhellissâ
memeam rasa riu.,meem rassa kerro
ya mema ber!,iyâ lakar bheer!
tidak baik apa ya diperbuat,ta' bheer sè èkalako
jaamembiarkahati meadi beis.,jhâ' rodhi atè dhâddhi bheès
memba air bersih lagi be.,̀mbâ aè bhersè tor bheè
semalam suuk aku terbaya-baya akadirimu.,samalem bheè bulâ jâ-bâjâaka dhika
"kalau si tempat wadaha piuk, kalau zakat haka ora fakir miski","mobherkat bâḍḍhâ takèr, mozâkat ha' orè fakèr "
"si sudah meadi bubur, tidak bergu lagi, sia-sia belaka",bherrâs dhâdhi tajhi
aka ya kal dipukul berkali-kali megukapebah.,a' sè mellè èbhesbhes aghuy pebbhâ
meabuti bulu ayam.,mitbhit bulu ajâm
jaamempercayai fith.,jhâ'partajâ ka bhittea
ak bapak Mat itu saat kal sekali.,a' Pa' mat rowa cè' bhleerra
ora desa berjalakema-ma meari air dimusim kemarau.,orè dhisa abhliè sè arè aè è mosèm mor
ora-ora ya berjudi lari berhamburakare mau ditakap polisi.,rè-orè sè amaèjuḍi paḍâ buru abhlitsadhâamarghâ ètakebbhâ plisi
ak perempuaitu saat ramah.,ka' bì' rowa cè' bhrâa
ora itu saat gampa marah.,orè rowa cè' bhrâassâ
ora ya meembah sukem kepada Budha.,orè sè embhâ okem ka bhuḍḍhâ
kera hitam.,"keṭṭa bhuḍḍhe, keṭṭa èrean"
"cia itu buta, terlaur erat tali ikataya.","tarès ̀ko buta, kaḍu serret sambhughellâ"
sekaliarusak bubarkasemuaa.,samèsarosak pabhujâr kakabbhi
kelere i baak cuila.,lèker rèya kè'-bhukkèk
dipoles deacat war putih.,èbhulâs bi' eccèt bâma potè
kakia dibelit ular.,soko èbhulet olar
bauyak pohocemara.,bâya' bhuka comara
jaaterbwu-buru i jatuh,ajjhâ' ru-kebhuru ḍâgghi' labu
apa kamu baru saja data?,apa bâ' bhuru ḍâte?
"pohopi ya tidak terlalu tigi, buru maar higap di dahapohoturi, suguh disayakakalau tidakjadi, kare sudah botak ya bersisir","pè sè ta'  tèghiâ, ma'  bèṭak ko' è toroy, èmasè ta' dhâddhiâ, karè bhutak sè asoroy "
meabuti bulua ayam,mutbhudhi bulu ajâm
meabut bulu ketiak.,mutbhut bulu klèabhân
kita,"sèko' hi' sakabbhia bhâre , bhâdhâkaulâ sare paheeasadhâjâ "
rumaha berdii gedek,roma atabi biḍhik
kemariayah membeli gedek.,bâri' rama obâè biḍhik
berapa biji?,"bârâmpa bigghi'?, bârâmpa mègghi'?"
makamaga tiga buah.,akapao tello mègghi'
"jaaterlalu baak makabiji buah ka, i bisa seri keut.",jhâ' a'-bâya' akabighilâ ḍâgghi' akeo' ros-terrosân
bautidur ada kotoradisudut mataa,jhâghâ tègu abilâ'ân
"dikatakakepada ora ya tergopoh-gopoh dalam meerjakasesuatu, sehiga hasil pekerjaaya kura baik seperti ya  diharapkan",ghâa ta' apo' bilis 
"masia bisa dibujuk atau dikuasai deabudi baik damulut mas, ataata ke tipu.",bilis matè ka maddhu otabâ cokka 
k perempuan,"emba bì' ,"
bibira bekak semua terke haama,bibirrâ biol kabbhi
"bia pagi, rasi bia waluku","bia ghâlâ, bia apoy, bia bhrâhâs, bia tèmor"
"bia puyuh, bia kertika","bia kertèka, bia ghârtèka"
dicubit sedikit saja sudah cee.,ètobi' ḍhigḍhi'bhâi la birè
deameebut ma Allah ya Maha peasih lagi Maha peaya.,bit asma èpoAllah sè Ma'a Mora tor Asè
"tidak terbila, tidak terhitu, tidak bisa dihitu",ta' èkeè bito
"dikatakakepada ora ya membeberkakejelekafamili, sak keluarga seiri kepada ora lai","miṭṭa' buri'è jhâlârajâ, abiṭṭa' buri' tea èmho "
biasakasupaya tidak lupa,biyasaaghi ma'lè ta' loppa
biasaa kalau sudah malam amuk meerubu.,biyasa mola malem reè' arobu
"ibarat ora lama berkela dapula ke tah kelahiraya, teu dia egakeluar lagi.",blibis molè ka rabâ 
saya berasa mau muah bila makakue i.,sèko' arassa bliyât moakajhâjhârèya
tidak memakai sekat.,lo' aghuy brâ
sedemikia,"sabrio , sabriyâ "
badasaya terasa meria semua.,ta bhâdhâarassa briyâ kabbhi
saya tidak suka melihat ak ya kal itu.,sèko' briyâ atèla' ka' sè meller rowa
"terlambat, pali belaka ya data",palè buḍi sè ḍâte
liah darat,toka pèssè buḍu'
garam dacabai' lombok uuk sambal,"bujâ cabbhi, jâi rèès"
terasa hambar kare kura garama,arassa cèa pola kora bujâ
saya adalah ora Madura.,bulâ pàka orè Madhurâ
meolok bia malah bulaya jatuh,ghâi' bia ghâgghâr bulân
bulu mata,"bulu kèjhâ'. bulu èdhep, bulu kodhâ"
jes celurit berbeuk mirip bulu ayam,arè' bulu ajâm
"berdiri bulu roma, kuduk",mahe bulu kolè'
rumahku mehadap ke selata,ta buko aḍḍhep ka lao'
baru saja bautidur.,ghi' bhuru abuo
"saya tidak tahu apa-apa, haa meekor saja.",sèko' ta' tao paapa kè la ro' buè' bhâi
"takut tertakap polisi, mali itu lari ke tempat ya jauh.","tako' ètakep plisi, malè rowa buru ḍâ' jhâu"
magaa baak ya busuk.,pao bâya' sè busso'
"lupa diri, lupa akaasal peeritaadiria, sehiga ia berubah meadi cokak.",buta bhuru mella' 
waktu ya terbua,bâkto sè tabuwâ
siapa bila tidak akameerti,ca' sèra sè ta' artèa
boleh dibila saya i tidak pua ua,ca' oca'asèko' rèya ta' ai' pèssè
seperti pembicarakamasa ya lalu itu,mara ca'-oca'alambâ' rowa
"kataa bukamaga, tapi diiris, mukimasih muda, kataa tidak tertarik, tapi malah dilirik, mukihaa se.","ca' èpolo' pao, mè'  èsèksèk, kè maèr ara, ca' èpolo'  terro, mè èlèrèk, kè terro ara "
"dikatakapada ora ya meiiapekerjaaya lebih baak dari pada ya dipuai sekara, tamak daserakah",cabbhi a lalap 
besar badaya tapi bebal atau pair,jâ-rajâ cabbhi mekkasâta' peḍḍhes 
"lomboka berwar amat merah, tegala ditami ketela, ekau caik siapa maa, saya iimeelmu","cabbhi cè' ra-mèra, tegghâllâ tameè tèla, dhika raddhisèra ama, bulâ ferro sè kealla "
"i lombok bawa kesa, buat sau uuk ik perahu, jaasedih dajaasusah, cuma haa bersea gurau","ya' cabbhi kèbâ kassa, kasao apraoa jhâ' seḍḍhi bâjhâ' sossa, coma kè co-kocoa"
bercebur ke suai,acabbhur ka soay
tercebur ke sumur,tacabbhur ka somor
dikatakapada ora ya telah terlaur melakukasesuatu,karè bâcca acabbhur sakalè 
pekerjaaya sia-sia.,cabhul ajhâo laè 
baak ya akadikuui,bâya' sè ècabissâ
siapa ya meabut?,sapa sè abut?
berbicara deamemakai tatakrama,acaca aghuy tatakrama
"sudah satu jam ya berembuk, tapi haa pembicaraaya tidak ada gua",amposajhâm sè aparembhâghâ è caca matta bisaos
cacat bawaa,cacat sejjhegghâ lahèr
"bila meuruh-uruh kamu, tidak bisa diharapka",moaro-soro ka bâ' ta' bisa ècagherraghi
leau baak terluka diterkam kuci.,ta ta loka kabbhi ècalma' kocè
perasaaya seakaakaterjatuh di dalam hati.,rassa calto ḍâlem atè
dikatakakepada ora ya selalu memuji-muji diria seiri.,mara orè bhhu ca 
jaabersedih hati,ta' osa atampa cakèm
"membeli cakir di Pasar migu, ditahatahahaa kare meiia jika dipikir deasuguh-suguh, keataaya besar pehasilaya.","mellè cakèr pasar mègu, èjâ-kajâ kè terro, moèpèkkèr kalabâoghu, ata rajâ paèma "
dari terlalu lamaa ya berdiri betisku sampai terasa keja kaku.,ḍâri abiddhâ sè ddhek ta bettès dhâghâ arassa caean
meiduk air memakai gayu,ello' aè aghuy caè
membatik memakai alat cai,abhâtèk aghuy caè
mempersembahkacia deaseribu seuma,aos tarès saèbu pèsem
meteskaair mata,apcap aè mata
pak ta memakai capi.,pa' tà acapèan
masih meapati waktu subuh,ghi' apo' sobbhu
kamu tidak akabisa meamai ketampaak itu,bâ' ta' kèra apo' ḍâ' gâea ka' rowa
kampu lebak terke bair,kampo lebbhâk ècapo' bâ'â
dikejar tapi tidak tersusul,ètabâ tapè ta' kacapo'
"ramai sekali, gaduh, biasa dikatakakepada sekelompok ora ya berbicara masi-masi deabiar biar",cara pasar kojhu' 
daraha berceceradima-ma.,ḍârâ acarèccèdhâè maamman
kare seri ikar jai saya sampai merasa kesal hati.,"pola segghut lopot jhâhi, sèko' po'-capo' caremmet"
jaabaak berceritera.,jhâ' bâya' carèta
tidak ada ya ketigala,taḍâ' sè cèccèr?
bersamaadeaitu aiya telah reda.,bhire aèa pas ceḍḍhu
gurauaitu membahayaka,ghâjâ' jârèya elakà
"ketela berulat berwar hitam, pisa belah ada dibawaha, kalau malam tidak teu gelap, tera bulasuguh saat iaha","tèla ore bâr celle, gheḍḍhâ bellâ èbâbâ, momalem ta' tao pette, paḍḍhâ bulâcè' per "
"mehitam bijia juwet, mega kuda jatuh terlukup, jaaterlalu se beristeri dua, pas harta daterlilit huta","acelle bighi dhuwâ' , mpa' jhârâlabu pa, jhâ' -see abì ḍuwâ' , pas bhârâ rajâ ota "
"ik becak bercat ku, payu hitam dirodaa, bagaima kalau tidak berhasil, terlaur se akawajaha.","mpa' bèca' eccèt kò, paju celle è roḍa, ḍâ'râmma molo' èkeè, karè see ka robâ "
berteduh ditempat ya sejuk,ao è keeasè cellep
sakit pas diin,sakè' pas cellep
cepat dimakai keburu diin,dhuli kaka ḍâgghi' capo' cellep
"kalau diijaaberselimut, meambil selimut di raa, kalau pua keiijaatakut, mas emmut agap bujaa","kalamocellep jhâ' po'-sapo', ala' slimut è raa, kalamokarep jhâ' ko'-tako' , mas emmut aghep buja "
"kerap sapia, teger cemetia, cerai suamia, saya sebagai gaia.","kerrap sapè, toko'  cemeṭṭè, tellak lakè, sèko' ghâè "
sambala saat pedas.,cèe cè' peḍḍhissâ
segar daasri.,cear tor asrè
aku terme memikirkadirimu,cee bulâ mèkkèrè dhika
ditempele sampai miri kepalaa.,èpacear cèṭagghâ mèrè
kalau berbicara jaaterlalu ari.,moacaca jhâ' tè-keceèan
meambil si megukaceo.,ala' sè' aghuy cèo
akaditelabulat-bulat.,èceppa'a oal mala
apakah bisa dipercepat?,bhâ' bisa'a èpaceppet?
cat berwar hijau tua,cèt abâr bhiru towa
rumah ya bercat ku,roma sè acccèt kò
sakit kepala,"sakè' cèṭak , sokasèra "
membuka aiba seiri di khalayak ramai.,ello' buri'è tea jhâlâ
saya bersama tematemaberjalajalake pelosok desa ya saat terpeil.,sèko' sakaa'aakalèâr ḍâ' dhisa è ṭo-ceṭṭoa
"sotoa berasa hambar, barakali kura garama.","soto arassa cèya, la-pola kora bujâ"
meium,"èyom , ambhu  "
kuaha berasa hambar.,kuwa arassa ciya
musuha mati terke tusukakeris,moso matè keè coco kerrès
kakia tertusuk duri,soko te coco' ḍuri
pali ek makakepiti ya dicocol ke cuka bercampur lombok.,palè amaakapètè sè èdheddhel ka cokka campor cabbhi
cukup sampai disi saja,cokop ghâkaa' bhâi
pisau uuk meukur,"toḍi' peokor, jaḍḍhi pemaras "
obat ya diberi kakak itu saat maur.,obhât sè èberri' kaka' rowa cè' okoddhâ
dikatakakepada ora ya saat suka meampaikakejelekaora lain,sajhâ-lahâa Jhâlâghi' lahâ-acola' 
bambu diteba dauya berjatuha ora merokok teu muluta terbatuk-batuk.,"perrè ètoko' , ḍâua arooa orè aroko' , colo' abâto'a"
bukahaa,bâè kè coma
haa begi?.,kè coma bâriyâ?
"kue gasari ditukar kue lepat, lalu hila rasaa, jika matahari perlahaakategelam, wajah sudah tidak bercahaya.","ghâsarè porop leppet, ma' lajhu èla rassa, ḍu moarè laocompet, ropa èla cajâ "
buia memekakkateliaa.,moè compleaḍâ' kopè
rumah aa dima?.,compo' sampèyaèka' ḍimma?
kamu sebagai ak ya lebih tua selayaka memberikacooh ya baik terhadap adik-adikmu.,bâ' ka' sè lebbi towa mastè ooè sè beccè' ka lè'-alè'
ya sudah dibua atau dihikatidak layak dipuut atau dimuliakalagi.,copa moghâgghâr ta' keè èjhilât polè 
es liliya diemut.,ès lilia ècopcop
mempati rumah ya saat sempit,eeè rama sè pè'-copè'
seperti tak akaberpisah,cora' sè ta' apèsaa
mema begi,lakar ḍâ' iyâ
"kaos petup dada, kuta war hitam dijadikakemdu, kurus disebabkaolehmu, sia malam tidak bisa tidur.","kaos topo ḍâḍâ, kota celle ghâbây koḍu, koros marghâ sèḍâ, sèya malem ta'  èḍḍâ tèḍu "
jaadimirikai bisa rusak.,jhâ' pamèrè ḍâgghi' rosak
terlalu dalam,"ḍâlem ḍhiè, ḍâlem ḍhimè, ḍâlem ghâllu "
membayar dam seekor kambi.,majâr ḍam sètto embè'
muah darah,"aota ḍârâ, ota ḍârâ"
piua jaadibuka terlalu lebar.,labâa jhâ' ḍarḍar
dari dulu sampai sekara,ḍâri lambâ' sampè' satèya
dari atas ke bawah,ḍâri attas ka bâbâ
dari sebab itu.,ḍâri sebâb rowa
dari miskiya sampai tidak mampu membeli beras,ḍâri mèskèa dhâghâ ta' bisa mellè bherrâs
adikku terdiam saki biua,ta alè' ta' acacaaḍâri bhioa
kare saat sakit sampai meis meerit-jerit.,ḍâri sakè' dhâghâ ès arat-tarat
dasi berwar hitam i adalah kesukaasaya.,ḍasi bâr celle rèya -seea sèko'
aka ya busu bertubuh peek dagempal.,a' sè buso bekdembek
makan,"aḍhà'âr , aka, ḍḍhâ  "
mim,"aḍhâ'âr aè, èm "
air mim,"aè ḍhâ'âr, aè èm "
saya tidak terlalu iat akasak faimili di Madura kare sudah lama tidak perh pula.,kaulâ mo a'-èa' dhâbâ' ḍâ' lâ-bhâlâ è Madhurâ kara ampoabit ta' ò palèman
saya diberi periah oleh ibu.,abdhi èḍhâbui sare èbhu
jatuh sampai lebam semuaa,labu dhâghâ beddhe kabbhi
saki takuta sampai gemetar.,sakè dâri tako' dhâghâ etter
siapa ya bekerja deakeras akahidup sejahtera,sapa adhâghâ adhâghi 
dikatakakepada ora ya berperilaku ah atau tidak wajar kare iimemamerkasesuatu kelebihaya sebera tidak ia miliki.,"dhâghâ to, adhu' um bhâfè "
muul seketika taa disaka-saka.,ombâr dhâksakala ghu -a
tidak akaperh berakat,ta' dhâlâ sè makaddhâ
sampai meikir semuaa,dhâlâ ̀sè kakabbhi
kediamaaa dima?.,dhâlem èpopaheeaèka' ḍimma?
i dulu.,"ḍâgghi' dhâllu , ekèdhâllu, makèdhâllu "
"jam delapasepakecil, berbui ari diatas pohobambu, jaaketerlaluasebagai seora perempua jaamerusak rumah taga ora lai","pokol bâllu' bheḍḍhil kè̀' , krattasâattassâ perrè, jhâ' lu'-dhâllu' dhâddhi rè bì', jhâ' marosaghâlakè orè "
saya dikira saudaraa.,sèko' dhâmo' tarèta
didarat dadi laut.,è ḍhârât bâè tasè'
"buah delimaa semoga mas, dibuat rujak semoga kecut, akaditigal semoga meis, kakak meajak saya mau ikut.","dhelima mahâr màssa, èrojhâgghâ mahâr cèlo'a, èdhi'a mahâr èssa, kaka' ajhâk sèko' ro'a "
meempul perahu ya bocor.,aḍhempol parao sè bhucor
"buru perkutut jaadisaka buru dara, ayo takap lalu beri makajagu, meatakatidak jaadisaka iya, meski sebear bisa elo tidur.","râ'-dherrâ' jhâ' saghu dhârâ, ayo'  pèghâ' pakà jhâghu, jâ'-eâ' jhâ' saghu iyâ, tekka sakejjhâ' ellò tèḍu "
biar jaadiapa-apaka,dhigghâl pee bisaos
tidak perh melupaka,ta' ḍhik loppa
waktu dulu,ghi' bâkto ḍhimèn
biarkaagar tahu rasa.,dhi ma'lè tao rassa
"dikatakakepada ora ya lupa diri, lupa akapeeritaaya sehiga ia meadi cokak dasombo.",mara ta ḍhikol bhuru ee 
ora desa,"orè dhisa, rè dhisa"
ak itu durhaka kepada ora tuaa.,ka' rowa dhrâka ḍâ' orè towa
air mataa berli.,aè mata adhribisân
jaameuk-uk saya seperti itu.,jhâ' dhidhuddhiaka sèko' mara jârèya
kiraa tidak tergapai.,ta' dhugghâ kèra
saat suka sekali,"cè' dhujâa, dhujâoghu"
hatiku coo kepada gadis caik itu.,ta atè dhuju ka parabâraddhirowa
bayia seda disuapi makan,bhâji' teppa' èdhulâ
marilah cepat-cepat kamu tidur,li-dhuli bâ' mara tèḍu
mari lebih cepat lagi.,"maju' dhuliâ, torè èghâlâ"
"dikatakakepada ora ya baru memulai usaha, mulasu dihadapkapada suatu halaa",adhulit coco sè teppa' ajhâlâ
jatuh kare terke sigu,labu keè ḍhumpak
"ak laki-laki ya tampaitu kalau berbicara terdear seau, kataa mema seau sejak lahir.","ka' lakè' sè gâe rowa moacaca dhuse, koca' lakar dhuse dâri bhâji'"
"membakar dupa didalam rumah, pakaiasampai memakai saru, jaalupa meiram deapupuk, buah lebat hasil uuk dipetik.","obbhâr dhupa ḍâlem roma. kalambhi tebbhâ asaroa jhâ' loppa bhuṭok sèramma, buwâ lebbhâ' lopoloa"
doakan,dhuwâ 1 aghi
doaa sudah terkabul,dhuwâ la èkabbhulaghi
"buru mematuk buah juwet, buah juweta bergerak-gerak ke bawah, ada dua ak ya ma ya lebih disukai, lebih suka 1 ya berjegot","ma'  occo' dhuwâ' , dhuwâ' gu'-ogu'â ka' ḍuwâ' kamma ao', ao'asè ajâgu'â"
"ah.. i dia buru mematuk buah juwet, lalu buru itu melaya kesa kemari, ma ya lebih disukai diaara dua ak itu, oh adik lebih suka ya memakai ai.","ḍu rèya ma'  occo' dhuwâ', ma' lajhu tè-lèèa kamma ao'' ka-' duwa' , ḍu alè ao' sè aèa"
berdis,"aḍis , abhusa  "
"tugu disi, jaaberaak sampai aku tiba.","ḍâè'è ḍia', jhâ. Lè-allè sabellusèko' ḍate"
mau pergi kesa,ḍâ' ka' ḍissaa
ah ..siapa ya tidak se,ḍu pasèra sè ta' seea
di waktu malam,è bâjâ malem
hei jaaambil,é jhâ' kala'
hai tematemamau kema?,è ca-kaa èarra ka kamma?
bela sudah berbui.,ebbèlla ella amoè
mempersembahkacia deaseribu seuma,aos tarès saèbu pèsem
meium bau busuk,ègi bâu bâce
baua tercium sampai si,bâu èkèḍi ḍâ' kaa'
saya tidak meium baua.,sèko' ta' èḍi bâu
belum baudari tidur.,"ghi' ta' èḍi, ghi' lo' èḍi"
got ya tidak terawat.,eggoddhâ ta' karabât
membaca masih meeja,mâca ghi' èjhâ
jaadiambil!,ella! jhâ' kala'
i dulu saya akaberbicara.,ellu' llu sèko' ghi' acacaa
suguh disayakauuk berpisah,èmaoghu sè apèsa'a
tidak terceraika tidak perh lepas,ta' kaḍhik embâl
ibua ada dima?,embu' bâḍâ ḍimma?
emas dua puluh empat karat,emmas pa' lèkor karat
ya keempat,sè kapè empa'
dibagi meadi empat bagian,èbâgi dhâddhi empa'
paai meumpulkaua.,pèlak èmpo' pèssè
seperti kepuaau.,èa' ai' bâ'
kami,eko' bâbâ' kabbhi
kita.,eko' bâsakabbhia bhâre
mehidupi diri seiri,èò abâ' dhibi'
suguh get jika berpakaiawar merah muda.,ahi' oghu moakalambhi bâr eyat
mau pergi ke pasar,èarra ka pasar
meatai.,"èarè , lèghi'i, ughuwi  "
lebih rian,"lebbi èè, èèan"
apabila sakit segera mim pil,mosakè' dhuli èm eppil
saya ke tabrak sepeda motor di dekat kaor pos.,sèko' keè tabra' sapèga motor èseddhi' kaor eppos
meiri ikut.,"èrè , ro'  "
"saki sea makarujak, petisa sampai diirup atau dicucup.","sakè seea sè arojhâk, pettèssâ sampè' èèro'"
suguh tidak akalupa,èsto ta' kèra jappa
"Sabtu seteah hari, Migu hari raya, jika suguhasuruh cari, jika suguhasuruh data.","sabto satea arè, mègu arè bessar, moèsto soro sarè, mooghu soro èar "
cia setia,tarès sè èsto
memikirkasesuatu ya tidak muki sukar diperoleh.,èto soko râ-birâ 
mari bersama-sama meaca surat fatihah.,torè are-sare maos sorat fatèha
gae wajaha membuat hati kepiut,gâe robâ apèot atè
suguh bagus kursia,gâe oghu korsè
"berkata, bertutur","agessa, agisa, acaca"
bapak seda meolok buah maga ya masak dipohon,eppa' i'-ghâi'âpao sè ella masak attas
betapa baak ora ya data,ghâjâ' orè sè ḍâte
alakah sediha ak itu ditigal mati ibua.,ghâjâ' seḍḍhi ka' rowa èdhiagi matè èbu'
ayo jaaberisik,ghâjhâ jhâ' er-èer
megigit-gigit sesuatu saat keras,kè'-èkkè' cè' ghâli
lebih keras,ghâliâ lebbi ghâli
bagaima merut peapat aa?,kadhi popa mètorot paghâliâèpopaheea
berkilau sira pelita.,aghâlirâp sorra dhilâ
masih terlalu pagi,ghi' lagghu ghâllu
kamu lebih dulu ya pergi,bâ' èar ghâlluwân
rambuta saat lebat,obu' cè' ghâmbhâ'
meepak-epakkaburu merpati.,ebbher ma' dhârâ
tadi pagi,ghellâ' ghi' lagghu
tadi masih bekerja,ghellâ' ghi' alako
sebagai pedomaagar cepat berhati-hati.,mèka pahumama' ghellis astètè
"lemah, lemas seperti ora belum maka dikatakakepada ora ya tidak bisa berbuat apa-apa kare ketidak tahuaya tea hal sesuatu.",mara ghehâ ta' èsiḍa' 
rumah i saat bagus.,beko ghèka cè' bhâghussâ
j aasombo dalam berbicara,jhâ' râ-magherrâ oca'
dikatakakepada ora ya pura-pura tidak melihat atau meetahui sesuatu padahal dia saat meetahui akahal itu,la'-mella' mata gherrâ 
"jemuraya sudah keri, cepat diambil takut turuhuja",jhemmora ella ghessap dhuli pas tolo tako' ojhân
ayam ya diberi pamasaat liar.,ajâm sè èberri' ghuttè cè' ghessèddhâ
masih belum selesai,ghi' ta' marè
belum dewasa,ghi' ta' akèl bhâllik
gigi tari,"ghighi sèyo, ghighi tarè"
sakit hati,"ghighire ambhul, seḍḍhi, sakè' atè"
tidak beraak sama sekali,ta' aghihek sama sakalè
ayutaaya melei seperti rota,palèmbâyyâ aghipat mara pahâlin
meucapkaterima kasih.,"mator ghlâ mator trèma, mator keso'o mator sakalako, kalako"
tegelam fasa terseal-seal.,talèllep abâ up-ghlâubhân
buia gemerisik dajatuh bergedebuk.,moè ghrâksak talbhus
jaasali berebut.,jhâ' pata ghrujjhu'
rumaha dimasuki mali deamelubai tembok.,roma èghubâ malè
memuji-muji kepada ora ya kaya,alem màssâ ghulâ 
haa begi saja?.,ghucoma ḍâ' iyâ?
jaapura-pura tidak meear i bisa tuli.,jhâ' pek'maghupek ḍâgghi' tèel
dikatakakepada seseora ya suka meakal.,wâ-ghuwâ mmo taè 
di alualuBakalabaak terdapat pepohotrembesi.,è lolobhâkalabâya' ka'-bhukaagombor
dagi babi itu diharamka,dhâghia bâbi jârèya èharamaghi
terlalu perlu,"cè' holu, cè' pra, cè' parlo"
terlalu perlu uuk meatai.,cè' holu sè èar
mema begitu,lakar ḍâ' iyâ
selaidari pada itu,"sèla ḍâ' iyâ, sala ḍâ' iyâ"
tidak! saya tidak akaikut.,jâ'! sèko' ta' ro'a
sali tarik merik deaberkeras hati.,"pata jege, sala jege"
jaasampai keliru,jhâ' sampè' kalèro
jaaterlalu bergembira ḍulu,jhâ' -see ghâllu
jaasuka lewat disi,jhâ' lèbâdhâè kaa'
sebear lagi akapula,jhâ agghi' molèa
mema suguh saat sulit,jhâ' lakar cè' malaraddhâ
masih bersaudara bisa bermusauhan,jhâ' ghi' atarètabisa amosoan
sudah tahu tidak pua masih juga dimiai,jhâ' rè la tao ta' ai' ghi' èpèaè
sudah auk masih juga belum tidur,"jhâ' rè la aok ghi, ta' tèḍu"
sudah malam tiba belum juga pula.,jhâ' la malem ghi' ta' molè
beri tahu ke ora tuamu bahwa hari Migu saya mau data kerumaha.,kabâlâ ḍâ' rè towa jhâ' arè mègu sèko' èarra ka roma
"ma jawaa guu, ma maduraa leker, dulua bodoh, sekara piar.","jhâbâ ghuhu, madhurâ lèker, sahbhâa bhuḍhu, satèya pèer "
maua pergi ke Surabaya tapi tidak jadi,jhâbâ èarra ka Sorbhâjâ mo ta' dhâddhi
"oh, suuh biu hatiku, seakatidak akaterobati kecuali kita secepata berjumpa.","ḍu posa oghu atè bulâ, cora' taḍâ' tambhâ, kajhâbââ dhika bâbulâ dhuli apaghi"
bautidur,"jhâghâ tèḍu , èḍi  , abuo sarè "
ak kecil itu jatuh lalu bakit tapi sambil meis,'-ka' kè̀' rowa labu pas dhuli jhâghâ tapè sambi ès
deama Allah ya meuasahi alam semesta.,bit asma èpoAllat sè Morbhâ jhâghât
dari pagi sampai sia ibu tua rea itu berkelili sambil meajakabara dagaaya mutidak juga laku-laku.,"ḍâri lagghu kaos sèya bu'-embu' sè seppo rowa akalèlè âjhâahi bhârâ dhâghâaa, tapè ta' ḍhik ju-paju"
meadi ora jaasuka memfith.,dhâddhi orè jhâ' jhâl-jhâjjhâl
dikatakakepada ora ya tidak mehiraukabahaya maut ya mehampiria,jhâjjhâlâ aher ka dhâmar 
dikatakakepada ora heak meraih sesuatu mukeiiitu tidak mukidicapaia,jhâjjhâlâ abbherrâ ka laè' 
mekap ikadeamemakai alat jala,mèghâ' jhuko' aghuy jhâlâ
diteah jalan,è tea jhâlân
berjaladiatas pecahakaca,ajhâlâè attas bhelli
dikatakakepada ora ya memutar atau memiamkauaa agar meapatkakeuuadeacara membuakan,majhâlâghi pèssè buḍu' 
jam berapa?,jhâm bârâmpa? pokol bârâmpa?
pada jamawaktu permulaan,ghi' jhâmabâkto mola
sesudah bertekar mulut dua ora perempuaitu lalu sali meambak rambuta.,samarè apadhu. orè bì' ḍuwâ' rowa pas pata jhâmbhâk obu'
jamu Madura sudah terkel di maa gara,jhâmo Madhurâ pokaloa è maa ghârâ
dikira sudah pula.,jhâmo' ellla molè
ora baak ya sali meikut uuk memperebutkasesuatu uuk memperoleh bagiaya.,akaa jhâghirâ ujjhu' taè 
kuburaora Islam,jhârâddhâ orè èslam
ibu seda meemur pakaian,èbhu mor-jhemmor kalambhi
"meskipusudah tidak kali dipeara, mali itu belum juga jera.","maskè marè èpeara tello kalè, malè rowa ta' ḍhik râ-jherrâ"
dicecar deapertaaa,èjherjher bi' partaaan
dikatakakepada ora ya selalu membuat keora,mara jhikè' kaèlaaḍhâcè
"jaaketerlaluakalau bergurau, i bisa bertekar","jhâ' bet-jhubet moaghiyâk, ḍâgghi' pas atokar"
jodoh damati sudah ada ya meatur,jhuḍhu bâpatè bâḍâ sè raksa
"saya sudah beberapa kali mim obat ya diberikaolehmu, tapi tidak cocok","sèko' pabrâmpakalè èm obhât sè èberri' bâ' rowa, tapè ta' jhuḍhu"
ak itu sudah gae juga saat jujur,ka' rowa sala gâe cè' jhujhurrâ
RadePrata bergelar Ki Lemah Duwur,RadhiPrata ajhejhuluk Ki Lemah Duwur
